,Price,Locate,Address,Beds,,,,,,
3321,R6 000,Zonnebloem,"The Six, 64 Sir Lowry Road",1,,,,,,
3353,R6 000,Woodstock,42 Gympie Street,1,,,,,,
3433,R6 000,Oranjezicht,,1,,,,,,
3438,R6 000,Grassy Park,,2,,,,,,
3441,R6 000,Grassy Park,,2,,,,,,
3549,R6 000,Zonnebloem,,0.5,,,,,,
3633,R6 000,Walmer Estate,103 Chester Rd,1,,,,,,
3979,R6 000,Maitland,,1,,,,,,
4002,R6 000,Wynberg,,1,,,,,,
4131,R6 000,Sea Point,,1,,,,,,
4299,R6 000,Thornton,"First On Forest, 1 Forest Drive Extention Drive",1,,,,,,
4309,R6 000,Thornton,1 Albatros Road,,,,,,,
4368,R6 000,Sea Point,,1,,,,,,
4370,R6 000,Sea Point,,1,,,,,,
4383,R6 000,Sea Point,,1,,,,,,
4486,R6 000,Sea Point,2 Firmount Road,1,,,,,,
4502,R6 000,Cape Town City Centre,,1,,,,,,
4582,R6 000,Plumstead,,1,,,,,,
4722,R6 000,Southfield,24 Naruna Crescent,1,,,,,,
4798,R6 000,Oranjezicht,,,,,,,,
4830,R6 000,Oranjezicht,,1,,,,,,
4943,R6 000,Diep River,,1,,,,,,
4993,R6 000,Pinelands,,1,,,,,,
5016,R6 000,Sea Point,,0.5,,,,,,
5046,R6 000,Observatory,,30,,,,,,
5062,R6 000,Mowbray,,1,,,,,,
5063,R6 000,Mowbray,,1,,,,,,
5079,R6 000,Oranjezicht,,1,,,,,,
5115,R6 000,Pinelands,180 Forest Drive Extension,1,,,,,,
5127,R6 000,Wynberg,,,,,,,,
44,R6 200,Pinelands,180 Forest Drive Extension Road,1,,,,,,
497,R6 200,Pinelands,,1,,,,,,
1481,R6 200,Rondebosch East,Rosedon Place 7 Rosedon Road,1,,,,,,
1551,R6 200,Zonnebloem,,1,,,,,,
1564,R6 200,Plumstead,76 Exeter,1,,,,,,
1653,R6 200,Belhar,Unit 197 Block C Belhar Views,2,,,,,,
3410,R6 200,Muizenberg,308 Nautilus Sanderling Road,1,,,,,,
3495,R6 200,Belhar,,2,,,,,,
3503,R6 200,Plumstead,,1,,,,,,
4109,R6 200,Plumstead,,1,,,,,,
4134,R6 200,Mowbray,,1,,,,,,
1143,R6 250,Claremont,8 Bowwood Road,1,,,,,,
1144,R6 250,University Estate,,1,,,,,,
2463,R6 250,Zonnebloem,"Six, 76 Sir Lowry Road",1,,,,,,
3139,R6 250,Claremont,8 Bowwood Road,1,,,,,,
233,R6 300,Surrey Estate,39b Pavo,2,,,,,,
1595,R6 300,Belhar,,2,,,,,,
2684,R6 300,Diep River,,1,,,,,,
3288,R6 300,Zonnebloem,265 Six 64 Sir Lowry Road Zonnebloem,0.5,,,,,,
3476,R6 300,Plumstead,,1,,,,,,
4460,R6 300,Costa Da Gama,,1,,,,,,
4709,R6 300,Kenilworth,,0.5,,,,,,
2343,R6 350,Wynberg Upper,29 Bayview Road,1,,,,,,
3312,R6 350,Kenilworth,,1,,,,,,
3986,R6 350,Belhar,,2,,,,,,
1649,R6 400,Wynberg,,1,,,,,,
1898,R6 400,Maitland,54 Mountain View Villas Royal Maitland,2,,,,,,
2089,R6 400,Rondebosch East,7 Rosedon Road,1,,,,,,
2139,R6 400,Thornton,,1,,,,,,
3368,R6 400,Observatory,,1,,,,,,
3682,R6 400,Heathfield,,1,,,,,,
4003,R6 400,Cape Town City Centre,,1,,,,,,
1319,R6 450,Kenilworth Upper,1 Morgenrood Rd,1,,,,,,
2158,R6 450,Claremont,8 Carbrook Avenue,1,,,,,,
3733,R6 450,Pinelands,,1,,,,,,
913,R6 495,Three Anchor Bay,,1,,,,,,
22,R6 500,Plumstead,,1,,,,,,
27,R6 500,Muizenberg,75 Shearwater Dr,1,,,,,,
29,R6 500,Mowbray,2 Selby Rd,1,,,,,,
38,R6 500,Mowbray,2 Selby Rd,1,,,,,,
53,R6 500,Wynberg Upper,3 Wellington Walk,1,,,,,,
88,R6 500,Lansdowne,9 Garnet Road,1,,,,,,
139,R6 500,Kensington,44 Fifteenth Street,1,,,,,,
147,R6 500,Sea Point,239 Beach Road,0.5,,,,,,
677,R6 500,Tokai,,1,,,,,,
778,R6 500,Wynberg,,1,,,,,,
910,R6 500,Wynberg Upper,29 Bay View Road,1,,,,,,
998,R6 500,Mowbray,,,,,,,,
1022,R6 500,Green Point,1 Exhibition Terrace,1,,,,,,
1055,R6 500,Sea Point,12 Bertram,1,,,,,,
1057,R6 500,Kenilworth,,2,,,,,,
1068,R6 500,Green Point,,,,,,,,
1115,R6 500,Zonnebloem,76 Sir Lowry Road,1,,,,,,
1138,R6 500,Zonnebloem,"Six, 76 Sir Lowry Road",1,,,,,,
1229,R6 500,Camps Bay,55 Rottingdean Road Camps Bay Cape Town.,1,,,,,,
1256,R6 500,Kirstenhof,258 Main Road,1,,,,,,
1328,R6 500,Rosebank,28 Main Road,0.5,,,,,,
1483,R6 500,Mowbray,27 Main Road,,,,,,,
1519,R6 500,Gardens,60 Kloof Street,1,,,,,,
1561,R6 500,Pinelands,,1,,,,,,
1651,R6 500,Gardens,,0.5,,,,,,
1716,R6 500,Zonnebloem,,2,,,,,,
1776,R6 500,Ottery,,2,,,,,,
1777,R6 500,Cape Town City Centre,,,,,,,,
1808,R6 500,Salt River,"3-7 Burns Rd, Salt River, Cape Town, 7925",1,,,,,,
1855,R6 500,Green Point,,1,,,,,,
